plan_internacional;min_en_dia;min_internacionales;reclamos;llamadas_internacionales;desafiliado
0;265.1;10;1;3;0
0;161.6;13.7;1;3;0
0;243.4;12.2;0;5;0
1;299.4;6.6;2;7;0
1;166.7;10.1;3;3;0
1;223.4;6.3;0;6;0
0;218.2;7.5;3;7;0
1;157;7.1;0;6;0
0;184.5;8.7;1;4;0
1;258.6;11.2;0;5;0
0;129.1;12.7;4;6;1
0;187.7;9.1;0;5;0
0;128.8;11.2;1;2;0
0;156.6;12.3;3;5;0
0;120.7;13.1;4;6;0
0;332.9;5.4;4;9;1
0;196.4;13.8;1;4;0
0;190.7;8.1;3;3;0
0;189.7;10;1;5;0
0;224.4;13;1;2;0
0;155.1;10.6;0;4;0
0;62.4;5.7;5;6;1
0;183;9.5;0;19;0
0;110.4;7.7;2;6;0
0;81.1;10.3;0;2;0
0;124.3;15.5;3;5;0
0;213;9.5;0;3;0
0;134.3;14.7;3;4;0
0;190;6.3;0;6;0
0;119.3;11.1;1;1;0
0;84.8;14.2;2;6;0
0;226.1;10.3;1;5;0
0;212;12.6;3;10;0
0;249.6;11.8;1;3;1
0;176.8;8.3;0;4;0
0;220;14.7;3;6;0
0;146.3;14.5;0;6;0
0;130.8;10;1;5;0
1;203.9;10.5;3;6;0
0;140.4;11.1;1;9;0
0;126.3;9.4;3;2;0
1;173.1;14.6;0;15;1
0;124.8;10;2;4;0
0;85.8;9.2;3;4;0
0;154;3.5;1;3;0
0;120.9;8.5;2;5;0
0;211.3;13.2;3;5;0
0;187;7.4;2;5;0
0;159.1;8.8;5;3;1
0;133.2;11;1;3;0
0;191.9;7.8;3;5;0
0;220.6;6.8;1;3;0
0;186.1;11.4;2;6;0
0;160.2;9.3;2;5;0
0;151;9.7;5;3;1
0;175.5;10.2;1;3;0
0;126.9;8;1;2;0
0;198.4;5.8;3;3;1
0;148.8;12.1;3;3;0
0;229.3;12;1;8;0
0;192.1;11.4;1;4;0
0;268.6;11.6;2;3;0
0;193.7;14.6;2;3;0
0;180.7;12.6;3;3;0
0;131.2;8.2;2;6;0
0;148.1;6.2;2;5;0
1;251.5;9.3;0;4;0
1;125.2;8.3;0;8;0
0;211.6;7.8;1;1;0
0;178.9;13.8;4;3;1
0;241.8;11.8;3;7;0
0;224.9;12.1;0;2;0
0;248.6;8;3;4;0
0;203.4;7.3;1;4;0
0;235.8;12;0;3;0
0;157.1;6.1;1;2;0
0;300.3;11.7;0;4;1
0;61.6;8.2;4;7;1
0;214.1;8.2;2;3;0
0;170.2;15;1;2;0
0;201.1;13.2;1;2;0
1;215.4;12.6;3;5;0
0;165.6;11;3;2;0
0;249.5;9.8;1;4;0
0;210.6;12.4;2;1;1
0;179.3;8.6;0;7;0
0;157.9;8;4;5;1
0;214.3;12;1;2;0
0;154.1;10.9;2;9;0
0;237.9;13.9;1;4;1
0;143.9;11.1;1;2;0
0;203.4;8.9;0;4;1
0;124.3;7.9;1;9;0
0;252.9;9.5;3;7;0
0;179.1;10.6;3;7;0
0;278.4;9.8;1;5;0
0;160.1;13;0;4;0
0;198.2;8.7;4;3;0
0;212.1;5.3;1;5;1
0;251.8;9.8;2;7;1
0;161.2;4.4;4;8;0
0;178.3;14.6;0;5;0
0;151.7;10.5;0;6;0
0;135;12.5;1;9;0
0;170.5;11.3;1;2;0
0;238.1;11.8;4;4;0
0;281.4;9;2;6;0
0;117.9;9.8;1;3;0
0;148.6;10.1;1;1;0
0;229.8;9.6;3;7;0
0;165;8.3;1;8;0
0;185;12.6;2;2;0
0;161;12.1;4;4;0
0;126.7;13.3;1;7;0
0;58.9;9.4;1;3;0
1;196.8;20;0;6;1
0;162.6;14.2;1;3;0
0;282.5;9.4;1;4;1
0;113.7;10;2;3;0
0;239.8;8.7;2;5;0
0;210.2;13.1;1;7;0
0;213.8;7.2;0;3;0
0;190.7;9.8;3;4;0
0;170.9;11.6;1;3;0
0;154.2;9.2;2;5;0
0;201.4;12;1;3;0
0;70.7;9.1;4;3;1
0;187.5;6.4;4;6;1
0;91.7;9.2;2;4;0
0;214.2;9.5;3;4;0
0;145.5;10.9;3;2;0
0;166.3;6.1;1;5;0
0;231;9.5;1;3;0
0;200.3;7.1;4;1;0
0;197;9.1;1;10;0
1;129.9;11.2;3;3;0
0;175.8;5.3;5;4;0
0;203.1;12;3;3;0
0;183.2;11.2;1;8;0
0;205;10.2;2;5;0
0;148.5;12.4;1;3;0
0;200.3;10.5;0;4;0
0;192.6;6.8;3;5;0
0;246.5;11.7;1;4;0
1;167.1;14.1;2;7;1
0;231.9;14.3;3;6;0
0;146.7;13.7;1;3;0
1;271.5;11.7;1;4;0
0;181.5;8.5;1;5;0
0;257.7;11.1;2;4;0
0;193.8;10.6;1;6;0
0;102.8;10.1;1;7;0
0;187.9;7.5;1;6;0
0;226;6.9;1;11;0
0;260.4;11.5;5;4;0
0;178.7;9.8;0;4;0
0;337.4;15.8;0;7;1
0;157.6;13.7;0;2;0
0;183.6;10.2;1;2;0
0;142.1;9.6;1;4;0
0;136.3;7.1;0;5;0
0;217.1;12;0;6;0
0;187.5;10.5;3;5;0
0;98.9;12.2;1;1;0
0;206.3;6.1;1;3;0
0;243.1;12.1;2;2;0
0;189.8;7.5;1;3;0
0;202;10.9;1;3;0
0;170.1;12.8;1;4;0
0;230.9;6.3;0;2;0
0;237.1;13.2;1;2;0
0;182.1;10.6;2;5;0
0;119.3;10.5;3;4;0
0;116.8;14.1;1;2;0
0;219.2;6.1;0;5;0
0;252.6;11.1;2;7;0
0;147.1;12.2;0;3;0
0;202.1;11.5;2;3;0
0;173.5;16.2;3;10;0
0;232.1;0;3;0;0
1;197.1;9.5;4;5;0
0;58.2;11.9;5;1;1
0;115.6;9.9;2;12;0
0;186.1;14.6;2;7;0
1;259.9;8.4;3;3;0
0;214.3;10.8;1;13;0
0;158.7;10.2;1;4;0
0;271.6;10.9;2;3;0
0;160.6;9;1;3;0
0;232.4;9.1;1;3;0
0;133.8;8.9;0;4;0
0;176.9;9.5;1;2;0
0;209.9;8.8;2;4;0
0;137.5;13.4;0;2;0
0;289.5;9.5;1;4;0
0;198.1;6.8;1;6;0
0;149.7;9.7;0;8;0
0;326.5;10.7;2;6;1
1;292.9;13.8;4;7;1
0;83;13;0;3;0
0;145.7;13.1;3;5;0
0;182.3;11.2;2;1;0
0;218;6.4;3;8;0
0;140.6;6.8;2;3;0
0;152.7;9.4;1;4;0
0;106.7;12.1;1;2;0
0;243.8;13.7;2;8;0
0;194.4;10.8;3;5;0
0;213.9;12.2;3;5;0
0;217.2;15.8;3;7;0
0;241.1;11.6;1;10;0
1;203.5;11.9;0;11;0
0;155.2;10.7;1;3;0
0;167.6;12.2;1;6;0
1;226.7;17.6;2;4;1
0;179.3;11.5;3;6;0
0;151.4;10.9;0;3;0
0;180;4.7;3;7;0
0;250.2;13;1;2;1
0;223;7.1;0;12;0
0;183.6;12.2;3;6;0
0;166;10.2;1;6;0
0;136.1;4.4;1;2;0
0;149.3;8.9;2;6;0
0;65.4;13.8;2;1;0
0;213.4;2.7;1;4;0
0;206.9;7.7;3;2;0
0;186.2;9.6;2;3;0
0;280.2;13.3;4;3;0
0;196.6;11.9;0;3;0
1;312;10.5;0;2;1
1;199;11;1;6;0
0;203.1;13.5;3;2;0
0;168.8;10.9;0;2;0
1;173.1;9;1;5;0
0;134.4;10.2;5;2;1
0;202.6;9;2;9;0
0;74.5;9.8;3;7;0
0;83.6;10.7;0;9;0
0;192.2;9.4;1;6;0
0;220.2;12.9;0;5;0
1;135.1;12.3;2;2;1
0;253.4;8.4;1;2;0
0;225;7.1;3;2;0
0;198.5;9.4;0;3;1
0;110.3;9.5;0;5;0
0;60;11.1;0;3;0
0;214.8;10.2;0;5;0
0;181.8;9.2;4;2;0
0;154;11.8;2;4;0
0;157.4;13.9;4;11;1
0;207.9;14.4;4;7;0
0;207;9.1;3;8;0
0;119;9.5;0;3;0
1;143.7;10.9;0;3;0
0;165.9;14.1;4;8;0
0;138.6;9.8;1;3;0
0;84.7;14.5;1;8;0
1;62.6;10.4;1;2;1
0;155.2;8.7;1;4;0
0;164.9;6.7;1;9;0
0;134.5;15.4;1;1;0
0;143.3;11.5;1;3;0
0;168.3;12.5;1;1;0
0;262.4;8.3;2;6;0
0;206.2;11.4;1;6;0
0;225.8;8.4;4;9;0
0;138.3;13.5;3;6;0
0;94.4;4.5;0;4;0
1;160;9.9;2;3;0
0;206.6;14.6;0;3;0
0;134.7;7.7;1;3;0
0;214.4;8;3;13;0
0;192.8;13;3;3;0
0;151.1;10;1;3;0
0;221.4;9.8;3;5;0
1;218.9;11.1;0;4;0
0;189.8;6.5;2;2;1
0;192.7;10.9;2;6;0
1;204.4;10.5;3;6;0
0;172.3;13;2;4;0
0;198.4;10.4;2;6;0
0;211.7;12.2;1;1;0
0;221.6;9;1;2;0
0;197.9;6.7;3;5;0
0;147.5;15.6;2;3;0
0;206.4;8.8;2;5;0
0;205.9;14.5;2;4;0
0;207.6;14.1;0;5;0
0;303.9;5.3;1;3;1
0;230.6;8;0;2;0
0;99.5;9.7;0;3;0
0;177.1;5.9;1;4;0
0;172.7;10.3;5;5;1
0;172.7;9.8;1;3;0
0;204.2;9.5;1;5;0
0;85.7;10.1;2;5;0
0;157.6;11.9;0;1;0
0;215.5;6.6;4;9;0
0;181.5;6.6;1;5;0
0;171.7;11.9;2;4;0
0;266.6;5.9;1;2;1
0;170.4;11.2;0;3;1
0;158;9.1;1;4;0
0;92;10.3;1;10;0
0;234;9.1;2;5;0
0;272.1;8.5;1;10;1
0;296.4;11.4;4;3;1
0;194.4;11.4;0;2;0
0;227.2;8.9;3;4;0
0;248.7;13.2;1;2;1
0;236.3;9.7;1;6;0
0;205.6;10.9;0;3;0
0;94.1;9.8;0;4;0
0;125.2;18.9;0;2;0
0;60.4;12.4;1;3;0
0;121;7.7;2;4;0
0;117.8;7.6;3;3;0
0;232.4;5;3;5;0
1;223.5;9.4;2;2;1
0;176.3;6.2;0;3;0
0;125.2;12.9;1;3;0
0;138.7;10;0;3;0
0;86.3;11.3;1;4;0
0;207;13.4;3;5;0
0;58.8;7.1;0;3;0
0;68.7;11.4;1;4;0
0;239.2;9.5;1;4;0
0;198.3;12.5;0;3;0
0;205.2;14.4;0;12;0
0;192.1;7.9;3;2;0
0;272.6;9.5;1;2;1
0;128.3;12.2;7;5;1
0;169.6;9.3;0;4;0
0;201.3;7.5;1;4;0
0;214.7;8.6;1;4;0
0;169.2;10.6;0;2;0
0;194.1;7;2;7;0
0;233.8;7.6;2;3;0
0;225.1;14.6;0;2;0
0;213;9.1;1;1;1
0;183.9;10.8;1;11;0
0;221.8;14;0;7;0
0;64.6;0;2;0;0
0;154.6;13.3;1;3;0
0;260.2;7.2;3;8;0
0;161.6;12.2;1;5;0
0;220.6;10.5;1;11;0
0;155.9;13.1;3;5;0
0;107;12.8;4;3;1
0;182.5;11.3;4;8;0
1;220.1;10.1;4;4;0
0;152.2;5.3;1;3;0
0;181.5;14.7;2;9;0
1;236.2;13.2;2;2;1
0;166.1;12.7;1;2;0
1;244.6;11.3;1;4;0
0;134.2;8.5;2;2;0
1;149.7;9.2;1;4;0
0;150.1;5.8;1;4;0
1;257.1;8.8;1;6;1
0;124.4;11.3;0;6;0
0;141.7;12;1;5;0
0;230;11.3;2;3;0
0;162.3;10.9;0;2;0
0;350.8;10.1;1;9;1
0;193.3;9.1;4;3;0
0;78.2;18;1;3;0
0;83.4;7.6;1;5;0
0;195.6;16;0;2;0
0;201.8;10.3;1;6;0
0;197;10.6;2;6;0
1;218;12.4;0;1;1
0;164.8;14.8;2;2;0
0;179.2;9.2;2;6;0
0;214;10.6;0;5;0
0;170.5;11.2;2;7;0
0;205.7;6.7;1;18;0
1;165.5;11.5;1;2;1
0;221;6.8;2;4;0
0;242.1;14.7;3;2;0
0;151.6;14.7;1;4;0
1;176.2;5.7;0;4;0
1;196;3.7;1;5;0
0;159.5;7.2;2;4;0
0;230.2;10.7;4;7;0
0;146.7;8.9;3;1;0
0;210.5;8.5;1;5;0
0;102;10.7;1;3;0
0;126;10.2;3;6;0
0;168.4;11.1;1;2;0
0;105.6;8.7;0;3;0
0;206.5;12.4;5;5;0
0;217.1;9.4;2;3;0
0;229.6;10.8;0;2;1
0;278.3;9.7;0;5;0
0;138.6;7.8;0;4;0
0;234.4;2;1;2;1
0;181.5;8.5;1;4;0
0;167.3;10.6;1;5;1
0;121;12;1;1;0
0;221.1;10.6;0;3;0
0;145.8;9.9;1;2;0
0;222.8;11.2;1;6;0
0;183.4;7.5;4;3;0
1;264.3;9.3;0;5;0
0;146;6.8;0;7;0
0;157.1;8.5;4;5;1
1;127.3;10.3;1;3;0
0;187.9;4.8;2;4;0
0;178.8;8.4;2;5;0
0;97.2;10.4;2;6;0
0;259.8;5.4;0;1;0
0;256.5;7;3;5;0
0;169.5;10;0;3;0
0;239.7;8.7;2;3;1
1;171.5;5;1;2;1
0;239.9;9.8;0;2;0
0;142.3;16;1;6;0
0;184.1;7.5;2;6;0
0;206.9;9.3;2;11;0
0;259.9;15.3;1;1;0
0;203.8;12.5;0;3;0
0;248.8;10.3;3;2;0
0;221.6;11.3;1;3;0
1;192.9;10.9;1;4;0
0;122.4;12.5;1;7;0
0;104.9;9.6;1;9;0
0;173.2;11.2;3;5;0
0;119.4;12.4;2;7;0
0;250.3;13.3;2;2;1
0;178.3;11.4;1;4;0
0;243.4;12.8;1;2;0
0;155;11.8;2;5;0
0;288.7;8.6;0;3;0
0;240.4;11.2;1;3;0
0;190.3;8;1;3;0
0;278;8.3;0;4;1
0;155;13.5;1;3;0
0;153.5;6.3;2;2;0
0;273.4;12.3;1;6;0
0;155.3;12.4;0;4;0
0;133.1;6.8;1;3;0
0;246.8;12.6;1;5;0
1;165.4;9.6;2;7;0
0;59.5;11.1;0;6;0
0;138.3;9.6;3;4;0
0;286.7;6.9;2;5;0
0;117.3;12.2;1;3;0
0;264.3;6.3;4;3;0
0;127.9;12.5;0;5;0
0;225.5;9.8;0;2;0
0;149;8.3;0;3;0
0;198.9;14.3;1;9;0
0;256.4;11.1;1;1;1
0;264.8;14.8;1;2;1
0;98.2;9.3;2;2;0
0;159.8;9.7;2;7;0
0;190.6;6;3;3;0
0;184;11;0;3;0
0;261.8;9.6;1;5;0
0;147.9;9.6;3;9;0
0;106.4;10.1;1;5;0
0;133.7;5.9;0;2;0
0;193.5;8.5;0;5;0
1;178.2;13.6;3;3;1
0;226.2;10.5;3;5;1
0;170.4;11.6;1;4;0
0;70.9;11.1;3;5;0
0;194.4;17.2;2;9;0
0;240.3;10.6;1;2;0
0;75;9.5;3;6;0
0;69.1;6.3;1;3;0
0;96.6;6.2;4;4;1
0;214.6;14.8;0;12;0
0;148.5;9.9;3;6;0
0;258.1;11.7;1;5;0
0;149.7;7.6;3;2;0
0;149.8;8.1;1;2;0
0;190.4;11.2;2;4;0
0;181.4;11.6;1;6;0
0;151.1;5.3;1;3;0
0;155.7;8.1;0;4;0
0;149.9;13.3;2;13;0
0;222.3;11;3;2;0
0;149.4;6.7;0;2;0
1;233.8;12.8;0;3;0
0;204.2;10.5;0;2;0
0;242.9;0;1;0;0
0;150.4;12.3;1;4;0
0;208.9;12.8;0;7;0
1;191.9;14.3;1;6;1
1;130.7;9.4;2;2;1
0;119.6;5.9;2;2;0
0;273.6;8.2;1;4;0
1;156.1;11.1;2;9;0
0;178.7;8;2;4;0
0;177.5;11.9;2;3;0
1;211.3;9.7;4;4;1
0;175.2;7.5;1;2;0
0;114.3;12.6;3;7;0
0;251.4;7.5;1;5;0
1;216.9;17.5;1;5;1
1;217.2;9.3;0;3;0
0;206.3;12.4;0;12;0
0;159.3;11.1;1;5;0
0;143.1;11.4;2;5;0
0;154;5.6;3;2;1
0;186.6;11.6;1;5;0
0;170.8;9.6;5;5;1
0;124;12.3;1;3;0
0;198.3;14.8;3;8;0
0;172.8;9.1;2;8;0
0;217.4;6.6;0;3;0
1;265.9;14;0;12;1
0;93.6;17.5;1;5;0
0;98.2;7.6;2;1;0
0;214.7;9.4;2;4;0
0;168.2;12.9;1;3;0
0;202.9;9;3;3;0
0;261.4;11.6;1;2;0
0;73.3;8.2;4;3;1
0;253.7;9.2;7;5;0
0;45;9.8;2;6;0
0;231.3;13;1;6;0
0;47.4;10.5;2;8;0
0;227.4;12.5;0;3;0
0;40.9;11.9;0;7;0
0;124.8;8.6;2;4;0
1;68.5;12.1;0;9;0
0;163.5;7.8;2;4;0
0;163;6.7;2;3;0
0;213.7;10.7;2;5;0
0;201.3;5.4;1;3;0
0;310.4;9.2;4;10;0
0;48.4;18.2;1;1;0
0;171.2;14;1;6;0
0;166.5;8.5;0;3;0
0;216.6;12.4;0;8;0
0;107.8;9.9;2;3;0
0;141.3;7.8;1;2;0
0;209.9;6.6;0;1;0
1;237.5;14.2;9;3;1
0;234.5;3.5;3;6;0
0;103.1;12.2;3;8;0
0;129.5;11.9;1;3;0
1;279.8;8.4;2;10;1
1;136.8;10.3;5;9;1
0;100.1;5.9;0;3;0
0;237.1;10.1;4;5;0
0;172.8;7.9;4;3;1
0;224.5;11.5;2;2;0
0;288.1;10.2;3;4;1
1;78.2;10.1;2;6;0
0;148.7;12.7;2;6;0
0;194.6;13.1;2;2;0
0;159.5;12;0;4;0
0;194.5;9.5;1;2;0
0;174.1;8.3;2;5;1
0;131.8;7.7;2;6;0
0;160.6;10.7;1;1;0
0;146.8;7.2;0;7;0
0;200.7;9.1;1;5;0
0;145.6;10.9;1;5;0
0;229.4;8;2;1;0
0;211;4.7;3;4;0
0;121.5;11.3;2;5;0
1;216;3.6;2;7;0
0;293;10;2;6;0
1;221.1;15.4;2;4;1
0;181.5;10.3;1;2;0
0;74.3;14.5;2;3;0
1;62.3;10.8;1;3;0
0;228.6;9;3;1;0
0;228.1;9.9;2;5;1
0;309.9;14.2;1;2;0
0;201.9;13.7;3;6;0
0;149.8;11.7;2;4;0
0;183.8;7.7;1;3;0
0;186.7;16.5;1;4;0
0;209.4;7.4;1;2;1
0;223.2;10.2;3;3;0
0;164.2;10.7;1;8;0
0;150.5;10.3;1;2;0
0;234.2;9.8;0;6;1
0;55.3;10.2;1;5;0
1;221.8;8.4;1;4;0
0;169.6;7.4;1;8;0
0;89.7;13.5;5;11;1
0;80.2;8.6;1;2;0
0;218.9;11.3;2;4;0
0;125.7;12.9;1;2;0
0;176.3;9.6;2;1;0
0;207.2;9.5;2;5;0
0;205.7;12.5;2;6;0
0;151.4;0;1;0;0
0;157.5;9.6;3;4;0
0;160.4;9.1;2;5;0
0;159;12.3;1;5;0
0;214.1;9.2;0;6;0
0;102.6;9.1;2;4;0
1;159.7;13.9;0;6;1
0;202.8;4.6;1;4;0
0;57.5;11.6;3;6;0
0;169.9;11.4;1;7;0
0;335.5;12.7;2;8;1
0;139.5;13.1;0;8;0
0;142.3;6.6;1;8;0
0;187.8;10.6;0;5;0
0;146.2;8.7;3;3;0
0;231.8;11.6;3;7;0
0;193.7;12.7;1;3;0
0;156.4;7.7;4;6;0
1;220.7;13.2;1;6;1
0;239.8;7.3;2;1;0
0;172;8;1;5;0
1;128.2;8.8;2;7;0
0;130.2;14;3;6;0
0;195.4;11.6;1;6;0
1;293.3;14.5;0;4;1
0;191.3;12.8;1;4;0
0;122.4;11.5;1;3;0
0;209.6;10.6;2;3;0
0;215.7;7.1;3;1;0
0;161.4;5.1;0;2;0
0;144.2;13.8;3;4;0
1;220.2;4.1;0;2;1
0;256.2;7.4;4;2;0
0;112.7;6.5;1;5;0
0;299.5;13.7;0;4;1
0;194.8;13.9;0;4;0
0;100.8;9.5;0;2;0
0;82.5;4.8;3;4;0
0;146.4;15.6;2;4;0
0;177.9;10.8;2;6;0
0;153.5;10.2;5;7;0
0;150.7;9.2;1;15;0
0;180.1;7.5;0;3;0
0;265.3;12.9;1;1;0
0;128.6;11.4;0;2;0
0;161.5;7.9;2;4;0
0;165.3;9.8;1;3;0
0;195;11;0;13;0
0;213.8;15.6;0;7;0
0;205.5;14;1;4;0
0;252.9;8.5;3;4;0
0;235.6;15.4;0;9;0
0;192;7.5;1;5;0
0;69.1;9.1;0;4;0
0;261.7;6;3;3;1
0;235.5;11.5;2;4;0
0;213.4;9.5;1;6;0
0;206.9;9.2;3;1;0
0;263.8;8.5;3;3;0
0;183.4;10.5;1;5;0
0;157.6;9.4;5;10;1
0;175.6;9.3;0;4;0
0;242.5;9.3;2;2;0
0;151;9.9;0;7;0
0;138.1;8.3;1;2;0
0;264.7;9.5;1;9;1
0;282.3;12;1;4;0
0;211.2;12.3;0;2;0
0;197.1;7.4;3;4;0
0;205.3;7.8;1;4;0
0;181.8;9.2;2;4;0
0;252;9.6;2;1;0
0;193.8;9.2;0;3;0
0;231.2;12.3;1;1;0
0;200.1;15.5;0;4;0
0;266.7;16.3;1;4;0
0;118.1;11.9;2;6;0
0;175.3;11.8;0;5;0
0;125.1;11.2;3;3;0
0;176.8;7.5;1;15;0
0;241.9;5.9;1;3;0
0;241.2;10.6;0;4;0
0;217.1;9.4;1;4;0
0;195.4;8.9;0;4;0
1;222.4;8.7;1;9;1
0;189.5;13.1;1;2;0
0;123.1;9.3;0;5;0
0;256.7;11.4;3;3;0
0;159.1;6.5;1;1;0
0;100.1;11.1;3;8;0
0;30.9;8.6;1;7;0
0;223.2;10.1;3;2;0
0;187.4;12.6;1;8;0
0;315.6;12.1;3;3;0
0;277.5;8.2;1;2;0
0;189.8;14.9;2;3;0
0;147.2;10.2;1;4;0
0;185.8;5.7;4;7;0
0;155.4;8;3;4;0
0;154.2;10.9;6;4;0
0;97.6;11.6;1;9;0
0;178.8;7.5;1;3;0
0;149.3;9.1;0;4;0
0;206;8.4;0;11;0
0;216.8;11;0;9;0
0;103.3;10.7;0;3;0
0;139.4;7.7;0;3;0
0;191.2;14.1;1;3;0
0;160;10.4;1;7;0
0;221.7;6.5;3;4;0
0;62.9;8.5;1;5;0
0;215.6;3.6;1;5;0
0;165.3;7.6;3;7;0
1;94.7;10.6;2;6;0
0;203.2;9.7;2;3;0
0;195.3;12.5;3;4;0
0;143.7;11.4;4;8;0
0;114.4;0;2;0;0
0;222.8;6.9;2;2;0
0;175.9;7.3;2;5;0
1;249.9;15.3;1;6;1
1;234.5;11.4;2;4;0
0;210.7;7.2;1;6;0
0;182.3;9.3;1;3;0
0;190.3;11.7;2;5;0
0;177.1;7.4;0;2;0
0;87.2;10.9;6;5;1
0;215.6;13.5;1;3;0
0;137.4;14;3;11;0
0;192.8;16.4;1;5;0
0;149.3;11.9;2;3;0
0;143.7;7.8;1;5;0
0;224.8;9.2;1;2;0
0;261.2;12.7;2;5;0
0;196.5;13.4;0;5;0
0;271.2;11.5;3;3;1
0;207.2;8;2;1;0
0;300.4;7.2;2;5;0
0;229.6;9.5;2;8;0
1;187.5;12.1;1;4;0
1;57.1;6.5;3;6;0
0;162.1;11;5;9;1
1;145;16.7;2;3;1
0;159.5;11.4;1;3;0
0;190.7;8.8;1;8;0
0;230.6;9.4;1;2;0
0;34;11.5;0;3;0
0;193.4;11.4;5;3;0
0;202;10.4;1;6;0
0;191.7;9.1;1;5;0
0;161.3;6.6;1;8;0
0;150.6;6.4;1;2;0
0;184.6;7.8;1;1;0
0;220.7;8.7;1;5;0
1;167.3;11;1;6;0
0;154;8.2;3;4;0
0;121.1;10.1;0;6;0
0;182.1;12.7;3;4;0
0;109.6;11;2;5;0
0;209.9;9.6;1;4;0
0;167.5;11.4;2;4;0
0;213.9;9.8;2;14;0
0;115.8;13.1;1;5;0
0;276.6;9.8;2;6;0
0;179.4;9.5;2;4;0
0;187.3;10.1;1;5;0
0;201.2;8.4;2;3;0
1;189.6;1.3;1;6;0
0;186.8;15;0;5;0
0;153.5;11.4;0;4;0
0;187.6;8.7;2;6;0
1;230.9;11;0;2;1
0;244.9;15.2;2;4;0
0;230.9;9.7;3;2;0
0;187.1;11;1;3;0
0;170.7;13.3;1;4;0
1;126.9;8.8;5;3;1
0;189.5;9.2;0;7;0
1;176.9;7.7;1;2;1
0;161.1;10.6;1;4;0
0;169.4;10.7;1;4;0
0;254.4;10.5;0;4;0
1;127.7;5.8;2;4;0
0;170.5;13.6;6;5;0
1;219.1;10.1;2;4;0
1;273.5;11;2;9;0
1;161.9;10.7;1;4;0
0;241.7;9.4;1;4;0
1;62.8;9.4;3;4;0
0;281.1;11.2;1;9;0
0;228.2;10.7;3;5;0
0;209.8;11.3;0;3;0
0;265.6;11.1;2;6;1
0;214.9;11.8;2;2;0
0;110.5;10.5;3;3;0
1;281.1;7.5;0;3;0
0;137.8;14.1;2;3;0
1;271.5;8.2;1;2;1
0;112.8;9;2;3;0
0;187.3;15.1;1;2;0
0;197;10.8;1;4;0
0;180.4;8.4;1;2;0
1;148.5;14.5;1;7;1
0;197.1;14.6;2;5;0
0;153.7;15.9;1;5;0
0;261.3;11.3;1;2;0
0;246.2;9.4;1;5;0
0;191;6.5;0;4;0
0;208.3;12.6;1;3;0
0;253;9.8;0;4;0
0;202.3;6.8;0;4;0
0;174.4;10.2;0;5;0
0;127.1;12.1;1;3;0
1;143.5;11.3;0;3;0
0;186.9;5.8;1;3;0
0;194;12.1;1;4;0
0;234.8;9.9;0;6;0
0;123.7;13.1;1;4;0
0;173.9;15.3;0;5;0
0;130.9;12.4;1;4;0
0;314.6;5.7;2;3;1
0;227.9;12.1;1;5;0
0;95.5;6.6;2;6;0
0;185.3;15.1;1;3;0
0;146.3;13.1;1;3;0
0;184;12.7;2;3;0
0;105.8;13.1;0;5;0
0;178;11.7;1;4;0
0;149.4;10.1;1;6;0
0;209.4;11.3;2;3;0
0;172.1;11.6;1;6;0
1;169.3;9.4;1;9;0
0;119.1;12.2;0;4;0
