plan_internacional;min_en_dia;min_internacionales;reclamos;llamadas_internacionales;desafiliado
0;194.2;5.5;2;2;0
0;198.8;9.9;2;3;0
1;167.7;13.4;3;1;1
0;202.2;11.8;2;2;0
0;322.5;9.4;2;4;1
0;216.2;10.2;0;3;0
0;76.4;9.4;3;3;0
0;72.7;9.9;1;3;0
0;210.4;9.7;0;4;0
1;127.2;8.1;0;13;0
0;201.8;11.9;1;8;0
0;219.5;16.1;1;5;0
0;99.3;9;3;6;0
0;239.2;10.3;5;2;0
1;120.9;11.4;2;11;0
0;224.7;15.8;1;6;0
0;176.6;14.6;1;6;0
0;283.9;10;1;4;0
0;180.6;10.3;1;4;1
0;125.9;10.3;1;4;0
0;237.6;9.1;0;9;0
0;198.4;9.2;2;2;0
0;274.3;10.9;0;5;0
1;199.6;11;3;4;1
0;217.7;9.6;3;3;0
0;134.7;7.6;3;6;0
0;212.7;9.7;2;13;0
0;256.3;6.2;2;7;0
0;183.6;12.7;1;2;0
0;176.2;9.2;1;4;0
0;205;11.7;1;8;0
0;267.9;11.3;3;3;1
0;179.2;9.9;2;6;0
0;149.4;14.9;1;3;0
0;163.6;13.1;3;3;0
0;207.6;12.4;1;13;0
0;165.4;8.9;3;4;0
0;209.8;9.9;4;9;0
0;220.1;11.1;0;3;0
0;141.3;8.2;1;5;0
0;196.5;4;0;7;0
1;180.9;7.4;2;4;0
0;105;14.9;0;5;0
0;271.4;11.1;4;6;1
0;206.7;10.9;1;3;0
0;166.8;9.3;1;1;0
0;204.9;10.4;5;3;0
0;154.6;9.1;1;4;0
0;127;7.5;1;2;0
1;267.4;5.9;1;4;0
0;281;0;1;0;0
0;270.8;11.8;4;8;0
0;171.2;10.2;1;7;0
0;124.1;6.7;3;8;0
0;162.8;7.2;1;3;0
0;146.3;8;1;12;0
0;254.8;15;2;7;0
0;254.9;5.4;2;3;0
0;107.7;8.9;0;3;0
0;158.8;7.6;1;7;0
0;182.9;5.5;2;4;0
0;198.5;12.4;0;5;0
0;178.4;12;0;2;0
0;110.9;6.2;1;5;0
0;166.9;12.3;1;4;1
1;244.8;10.7;2;3;0
0;120.8;11.9;4;3;1
0;165.3;8.5;2;3;0
0;126.7;14.4;2;7;0
0;215.9;15.5;0;7;0
0;140.1;8;1;2;0
0;209.9;8.7;1;7;0
1;139.8;5.5;0;6;0
0;321.6;11.3;2;3;1
0;166.6;8.2;7;6;0
0;214.2;5.9;0;8;0
0;260;9;1;3;1
0;191.9;13.4;4;4;1
0;213;13.5;0;3;0
0;118.1;16.9;1;2;0
0;190.2;15;6;4;0
0;82.2;5.1;0;6;0
0;163.8;8.1;0;5;0
0;267.8;14.4;5;11;1
0;159.8;10.6;2;3;0
0;214.3;10.6;1;4;0
0;287.3;10.5;0;4;1
0;101.2;7.5;2;3;0
0;102.8;13.2;2;5;0
0;109.1;8.3;0;6;0
0;215.9;5.2;1;2;0
0;203.4;11;1;4;0
0;110.1;9.2;1;2;0
0;111;4.4;1;14;0
0;239.9;9.3;1;5;0
0;144.8;13.8;1;3;0
0;135.4;7.9;1;4;0
0;84.2;10.8;1;2;0
0;209.1;14;0;6;0
0;130.1;11.4;0;5;0
0;175.8;7.8;2;5;0
0;241.9;6.6;1;5;0
0;136.7;9.8;0;4;0
0;67.7;12;1;2;0
0;200.4;10;1;2;0
1;125.8;14.1;1;4;1
0;128.2;11.2;1;2;0
0;226.3;13;4;3;0
0;162.3;9.2;0;4;0
0;224.4;6.7;2;2;0
0;120.5;14.3;1;2;0
0;91.1;11.9;2;8;0
0;168.8;15.5;0;4;0
0;153.5;6.5;2;5;0
0;226.2;6.4;0;2;0
0;191.9;12.6;1;2;0
0;167.9;9.2;4;6;1
0;180;11.5;2;6;0
0;257.4;13.4;2;5;1
0;174.4;11;1;4;0
0;159.7;8.4;1;3;0
0;237.2;11;1;3;0
0;103;7.9;1;3;0
0;153.8;11.6;4;2;0
0;205.1;10.7;3;2;0
0;175.7;8.6;2;3;0
0;155.9;8.6;2;8;0
0;154.4;10.3;0;5;0
0;209.7;7.1;2;3;0
1;150;9.4;0;15;0
0;232.4;12.3;3;3;0
0;165.4;12.8;2;5;0
0;199.2;13.3;3;3;0
0;217.6;4.2;0;3;0
0;212.1;7.7;3;2;0
0;154;10.8;1;5;0
0;193.8;13.3;1;2;0
0;175.4;12.2;0;4;0
0;152;15.7;2;5;1
0;230.2;9.2;0;3;0
0;174.9;13.5;1;3;1
0;190.2;8.8;0;4;0
0;176.4;11.5;1;1;0
0;160.9;5;3;5;0
0;228.7;11.8;1;3;0
0;144;12.3;0;2;0
0;135.9;9.5;6;7;0
0;334.3;10.4;0;6;1
0;130.5;13;0;6;0
0;134.2;11.8;4;2;1
0;278;13.1;4;4;1
0;105.4;7.8;0;5;0
0;188.9;11.6;3;8;0
0;111.8;6.9;1;4;0
0;159.1;13;1;18;0
0;212.4;9;1;4;0
0;142.3;9.9;1;1;0
1;346.8;13.3;1;9;1
0;113.9;11.8;1;9;0
1;267.9;8.3;1;2;1
0;171.4;17;3;4;0
0;275.4;13.6;1;3;0
0;197.2;3.9;0;2;0
0;192.6;7.9;2;2;0
0;91.7;7.7;1;5;0
0;126.3;9.6;0;2;0
0;251.5;10.4;3;6;0
0;190.6;7.5;1;5;0
0;116.1;11.6;0;5;0
0;217.3;11.3;2;3;0
0;179.4;14.7;0;3;0
0;207.7;7.9;0;3;0
0;277.3;12.8;2;4;1
0;125.3;8.4;1;4;0
0;138.1;6.8;2;3;0
0;169.3;8.2;0;3;0
0;201.3;12.3;1;3;0
1;216.7;9.8;2;4;0
0;190.4;8.3;2;4;0
0;143.3;6;1;7;0
0;97.4;11.4;2;2;0
0;181.4;11.3;3;3;0
0;246.4;3.8;0;4;0
0;143.4;9.7;2;6;0
0;104.9;8;2;5;0
0;156.2;13.1;1;5;0
0;114.8;12;0;4;0
0;232.5;11.9;0;2;0
0;143.6;8.6;1;3;0
0;176.7;9.1;2;4;0
0;263.4;11.4;1;5;1
0;146.4;11.3;1;3;0
0;145;14.2;2;3;0
0;167.8;8.4;1;12;0
0;166.9;7.2;0;5;0
0;142.5;7.8;2;8;0
1;133;11.2;1;3;0
0;252.9;12.3;1;1;0
0;95;10;2;2;0
1;194.2;12.9;1;1;1
0;222.8;0;1;0;0
0;201.8;16.5;0;5;0
0;216;9.3;2;4;1
0;146.3;5.3;1;9;0
0;234.8;9.5;1;5;0
0;198.6;10.6;2;6;0
0;94.4;13.1;2;9;0
0;190.4;10;2;1;0
0;142.6;12;3;2;0
1;134.2;10.7;0;5;0
0;111.9;14.1;5;3;1
0;122.8;10.7;2;2;0
0;189.3;9.2;4;5;0
0;240.4;16.1;0;6;0
1;93.5;9.9;0;3;0
0;158.6;10.2;3;8;0
1;243.2;7.2;4;4;0
0;176.4;9.3;4;3;0
0;220.9;6.4;0;5;0
0;144.4;7.1;0;7;0
0;212.3;7.7;0;3;0
0;147;8.4;1;9;0
0;96.2;12.9;2;10;0
0;263.4;10.3;0;2;0
1;12.5;7.7;1;9;0
0;162.3;10.1;2;3;0
0;183.6;8.7;1;3;0
0;178.1;8.5;1;2;0
0;201.4;7;0;3;0
0;123;13.3;1;4;0
0;208;8.6;0;6;0
0;239.2;8.8;1;3;0
0;193;15.3;1;3;0
0;174.5;10.3;1;9;0
0;116.7;9.9;1;3;0
0;93.8;10.7;1;2;0
1;154.1;12.9;2;3;0
0;239.5;9.9;0;6;0
0;216;11.8;0;4;0
0;187.4;12.2;1;6;0
0;167.4;10.3;0;5;0
0;160.4;12.5;1;4;0
0;143.2;11.9;1;9;0
0;205.3;5;1;9;0
0;219.1;14.3;1;6;0
0;143.2;7.6;1;4;0
0;232.8;12.5;2;7;0
0;162;8.9;0;8;0
0;25.9;6.5;1;7;0
0;154.2;15.4;4;4;1
0;322.3;6.7;0;8;1
0;209.9;8.2;1;3;0
0;191.5;0;0;0;0
0;291.1;7.5;1;2;0
0;215.6;11.8;3;1;0
1;208.8;12.4;3;6;0
0;255.9;12.3;3;5;0
0;252.7;12.4;2;4;0
0;132.1;6.9;3;6;0
0;217;8.2;1;4;0
0;101.9;12.9;0;2;0
0;211.5;13.3;2;4;0
0;153.4;10.4;0;3;0
0;166.3;10;2;3;0
0;185.2;9.5;1;13;0
0;104.6;6.5;2;8;0
0;245.2;7.2;0;8;0
0;274.4;6;1;3;0
0;98.4;14.2;1;4;0
0;279.9;13;1;2;0
0;187.2;5.1;1;4;0
0;276.2;2.2;3;4;0
0;200.4;8.3;1;4;0
0;162.3;9.1;2;4;0
0;176.9;10.5;4;2;1
0;165.5;12.2;0;6;0
0;217.8;10.4;4;5;0
0;201.4;12.9;2;4;1
0;190.5;10.1;3;5;0
0;179.9;12.8;3;7;0
0;235.9;5.8;3;2;0
0;140.4;7.9;0;1;0
0;144.6;7.4;2;9;0
0;189;17.1;0;6;0
0;101;13.3;0;2;0
0;206.3;10.6;1;4;0
0;165.1;10.9;1;4;0
0;165;12.5;1;7;1
0;155.9;11.7;3;3;0
1;199.2;11.8;1;7;0
0;155.3;12.3;3;4;0
0;208.3;11.3;3;5;0
0;157.1;12.1;1;6;0
0;154.4;11.7;5;4;1
0;189.1;10.4;1;5;1
0;131.5;10;2;3;0
0;166.4;9.9;1;5;0
0;142.3;12.8;2;9;0
0;87.7;7.3;2;4;0
0;184.1;16.9;0;3;0
1;174.5;12.3;2;10;0
0;103.3;9;2;2;0
0;35.1;12.7;1;2;0
0;246.6;13;1;5;0
0;78.5;11.8;1;4;0
0;148.1;12.3;5;2;1
0;206.2;9;1;3;0
0;251.6;12.2;2;3;0
1;270.3;14.4;1;7;1
0;156.6;11.3;1;1;0
0;139.4;13.6;1;6;0
0;220.2;11.7;2;3;0
0;214.1;10.1;1;3;0
0;196;7.9;1;6;0
0;106.4;5.3;6;4;1
0;179.4;10;0;5;0
0;216.7;10.8;2;1;0
0;177.3;5.1;0;2;0
0;151.6;4;1;5;0
0;262.2;10.6;0;5;0
0;173.6;9.7;3;7;0
1;106.6;9.6;2;8;0
0;193.3;11.6;5;4;1
0;217.2;11.3;0;4;0
0;209.5;8.8;1;4;0
0;95.4;5.6;1;5;0
0;214.6;8.1;1;2;0
0;131.6;11.1;4;4;1
0;168.4;11.8;1;7;0
0;146.4;7.8;1;5;0
1;183;11.1;1;6;0
0;103.3;6.4;0;7;0
0;112.2;10.6;0;2;0
1;170.7;8.2;3;9;0
0;172.5;10.9;0;2;0
0;194.3;7.1;1;5;0
0;187.8;12;2;3;0
1;307.1;8;0;3;0
0;118.2;12.2;3;3;0
0;154;12.9;1;1;0
0;155.5;7.6;1;11;0
1;125.6;5.4;1;5;0
0;199.3;15.2;0;2;0
0;157.9;12.8;1;3;0
0;203.4;9.2;2;5;0
0;222.2;10.9;1;5;0
0;92.8;5.8;1;7;0
0;216.8;8.6;0;2;0
0;193.2;9.7;4;2;0
0;113.2;14.1;3;4;0
0;166.2;11.2;3;2;0
0;262.2;7.3;1;14;0
0;207.8;13.1;0;4;0
0;245.4;7.5;1;6;0
0;287.1;14.4;3;2;1
0;192.3;9;2;1;0
0;194.2;9.7;2;3;0
0;211;9.8;3;7;0
0;141.9;8.7;0;5;0
0;220.5;5.9;2;9;0
0;157.4;9.3;1;2;0
0;143.5;11.2;0;5;0
0;156;8.9;0;8;0
1;160.1;9.2;2;3;0
1;235.1;7.2;4;2;1
1;160;8.7;5;5;1
0;188.4;13.2;1;2;0
0;194.8;11;1;3;0
0;247.8;6.9;1;2;0
0;221.2;11.9;4;3;0
0;118.5;13.4;2;3;0
0;231.8;7.6;1;4;0
0;215.9;11.6;1;4;0
0;217.1;8;2;5;0
0;83.5;12.6;0;3;0
0;183.3;5.1;1;7;0
1;236.8;9.5;1;2;1
0;193.8;8.5;1;3;0
0;134;9.7;0;4;0
0;176.6;11.3;2;5;0
0;191.4;10.2;3;3;0
1;174.8;12.8;0;3;0
0;275.2;7.9;1;2;0
0;174;7.9;1;1;0
0;165;12.6;1;8;0
0;228.7;11.8;1;4;0
0;107.9;9.5;2;3;0
0;221.3;11.3;1;6;0
0;141.1;5.9;3;6;0
0;166.4;10.7;4;4;0
0;249.6;7.6;3;3;0
0;178.6;10.9;1;5;0
0;139;15.7;2;5;0
0;134.3;12.6;2;5;0
0;215.9;4.9;3;5;0
0;181.6;11.4;1;4;0
0;178.4;9.3;1;9;0
0;106.4;11.4;1;3;0
0;170.7;11.4;2;4;0
0;184.5;12.3;0;6;0
0;161.2;8.9;1;4;0
0;84.9;7.5;2;5;0
0;217.9;10.6;1;2;0
0;270.9;8.8;0;5;1
0;243;15.3;0;6;1
0;128.2;8.9;0;3;0
0;126.3;9.8;2;7;0
0;178.7;10.6;4;2;0
0;159;10.1;0;4;0
0;150.9;11.7;3;5;0
1;219.9;8.1;3;4;0
0;168;10.1;2;3;0
0;162.1;9.6;4;3;1
0;198.8;16.5;5;7;0
1;256.8;9.1;3;10;0
0;182.8;11;1;2;0
0;196.8;7.7;1;2;0
0;140.1;11.2;2;5;0
0;194.3;9;5;3;0
0;117.6;8.8;1;5;0
1;193.7;11.6;0;8;0
0;243.1;7.8;2;4;0
0;145.4;5.2;1;4;0
0;169.1;9.9;3;10;0
0;229.3;8.8;2;3;0
1;197.2;8.3;4;4;0
0;186.4;11.1;2;3;1
0;76.1;10.8;0;3;0
0;162.8;6;2;3;0
0;182.3;18;1;5;0
1;194.4;11.2;2;7;0
0;189.3;12.5;2;4;0
0;160.1;9.5;3;4;0
0;145;7.1;3;4;0
0;220.7;11.5;4;7;0
0;224.7;7.5;1;5;1
0;147;10.5;1;4;0
0;260.8;10.1;1;5;0
0;155.4;9;0;3;0
0;166.2;5.4;1;7;0
0;211.8;10.8;0;7;0
0;130.5;11;4;5;1
0;162.7;8.7;0;6;0
1;237.1;7.9;1;3;0
0;166.2;13.2;4;2;0
0;121.7;8.3;6;2;1
0;176.4;11.2;0;2;0
0;67.4;11.4;2;2;0
0;229.7;9.6;1;1;1
0;176;14.7;1;7;0
0;247.7;9.6;0;7;1
0;115.4;13.1;2;5;0
0;112.2;13.9;0;1;1
0;162.6;11.5;0;4;0
0;229.4;10.4;4;6;0
0;139.6;15;2;4;0
0;263.8;8.4;5;2;1
0;217.5;9;4;3;0
0;114.3;7.5;1;8;0
0;196.3;7.7;2;3;0
0;253.2;4.4;1;4;0
0;98;10.5;0;4;0
0;249.4;9.1;0;3;0
0;129.6;14.5;1;5;0
0;221.3;9.3;0;7;0
0;220.7;12.4;1;9;0
0;87.6;9.2;1;5;0
0;203.6;8.4;0;3;0
0;213.6;8.8;2;3;0
0;181.6;12.9;2;4;0
0;215.4;7.8;1;6;0
0;266.3;14;2;2;1
0;199.2;10.2;3;2;0
0;115;7.3;3;4;0
0;270.5;9.6;1;5;1
0;222.2;12.9;1;4;0
0;61.9;8.8;3;2;0
0;141.1;10.8;2;2;0
0;189.2;10.6;3;5;1
0;196;9.8;3;1;0
0;171.6;13.8;0;4;0
1;174;11.4;2;3;0
0;78.6;7.4;1;5;1
0;200.9;8.9;1;7;0
0;141.3;6.4;1;2;0
0;235.8;7.3;2;1;0
0;185.1;6.3;3;4;0
0;254.3;11.8;2;2;0
0;183;8.7;2;6;0
0;163.5;7.5;2;5;0
0;207.9;7.7;2;2;0
0;248.6;6.1;3;3;0
0;185.4;14.5;2;4;0
0;197.8;8.9;1;5;0
1;132.1;9.1;2;1;1
0;197.1;9.3;0;11;0
0;154.6;12.6;2;5;0
0;153.1;10;6;1;1
0;211.2;6.3;2;9;0
0;96.8;10.9;2;5;1
0;172;10.1;1;9;0
0;141.1;8;2;7;0
0;151.1;13.8;2;2;0
0;209.6;7.6;3;2;0
0;247;10.5;3;4;0
0;221.4;10.8;1;12;0
0;321.3;8;1;4;1
0;243.7;11.3;0;2;0
0;251.5;11.1;3;6;0
1;236.9;7.3;0;2;1
0;159.7;9.3;2;3;0
1;148.2;9.2;4;1;1
0;150.9;14.7;1;1;0
0;210.5;11.5;1;2;0
0;170.9;4.1;2;5;0
0;254.7;10.6;0;8;0
0;284.4;8.4;0;8;1
0;0;6.8;4;1;1
1;133.7;10.7;1;2;1
0;224.9;10.3;0;3;0
0;151.8;11.9;1;5;0
0;141.4;5.6;2;3;0
0;285.7;14.8;0;7;1
0;58.4;11.9;1;5;0
0;90.4;13.1;0;4;0
0;114.4;11;0;3;0
0;147.7;12.8;2;3;0
0;302.7;13.6;3;14;0
0;136.1;11.3;1;4;0
0;169.7;12.8;3;6;0
0;227.2;14.9;0;2;0
0;217.8;10.3;1;6;1
0;124.2;13.1;2;8;0
0;206.2;13.6;1;2;0
0;132.9;9.9;3;2;0
0;104.9;7.7;3;6;0
0;245;13.7;1;8;1
0;184.5;11.6;1;3;0
0;89.5;12.3;3;1;0
1;235.6;8.6;1;4;0
0;186;11.5;4;6;0
0;223.9;7.3;1;9;0
0;179.5;6.6;1;2;0
0;169.4;8.9;1;5;0
0;118.1;8.2;1;6;0
0;112;4.1;4;4;1
0;168.4;8.5;0;7;0
0;214.3;11.3;0;10;0
0;245.7;4.2;4;5;1
0;156.6;13.4;1;10;0
1;142.8;8.9;1;4;0
0;202.4;10.2;3;2;0
0;116.8;12;1;2;0
0;155.7;11;1;1;0
0;236.1;9.1;2;4;0
0;138.1;8.2;2;2;0
0;51.9;10.1;3;3;0
0;81.3;8.9;0;3;0
0;171.5;7.1;0;3;0
0;126;7.6;1;3;0
1;197.2;9.9;4;6;0
0;194.1;15.3;1;4;0
0;115.7;9.3;1;6;0
0;157.2;8.4;3;5;0
0;269.7;4.5;3;15;1
0;246.4;9.1;0;8;0
0;227.4;13;1;4;0
0;189.8;12.2;0;4;0
1;188.9;11.5;4;5;0
0;0;7.2;1;4;0
0;110.5;11;1;4;0
0;167.6;11.7;4;2;0
0;132;0;3;0;0
0;167.8;11.9;0;4;0
0;213.4;5.7;1;4;0
0;175.4;10.6;0;1;0
0;82.6;9.5;3;1;0
0;143.2;8.8;4;7;1
0;125.5;8.9;1;8;0
0;82.3;11.8;6;2;1
0;165.6;11.8;1;3;0
0;183.1;8.4;0;2;0
0;162.1;12.2;1;5;0
0;166.6;7.7;1;6;0
0;135.9;9.4;1;4;0
0;165.7;9.8;0;6;0
0;176.1;9.7;1;4;0
0;142.3;9.1;0;1;0
0;177.6;7.6;3;3;0
0;83.2;10.7;1;7;0
1;235;5.7;2;7;0
0;105.7;6.6;2;12;0
1;149.4;17.9;3;3;1
0;264.7;10.4;0;7;0
0;160.3;5.6;1;1;0
1;95.9;10.4;1;3;0
0;140.7;11.7;0;5;0
0;119.7;4.6;2;2;0
0;99.9;9.8;2;7;0
0;250.9;9.6;2;6;0
1;200.6;11.2;2;5;0
0;209.8;7;1;7;0
0;198;7.6;1;4;0
0;239.8;11.3;1;5;0
0;164.5;11.2;0;2;0
0;220.9;12.2;1;2;0
0;112.8;13.2;2;6;0
1;112.6;11.1;0;2;1
0;226.4;10.8;1;7;0
1;244.9;9.7;4;6;0
0;203.2;15.1;2;6;0
0;136.7;8.6;0;4;0
0;152.6;5;1;10;0
0;274.9;8.8;1;2;0
0;195.7;8.3;1;3;1
1;204.3;9.2;1;7;0
0;222.3;8.9;3;4;0
0;222.5;9.7;1;2;0
0;128.8;10.3;2;2;0
0;174.3;8.3;0;2;0
0;242.5;7.8;4;3;0
0;221.6;12.7;4;6;0
0;114.3;10.9;0;9;0
0;219.7;9.5;2;2;0
0;144.9;12.3;2;3;0
0;236.5;8.1;2;3;0
0;174;14.1;2;7;1
0;109.5;6.6;1;7;0
0;81.6;9.9;1;4;0
0;133.4;5.9;1;4;0
0;137.1;8.6;1;4;0
0;197;16.1;0;8;0
0;198.1;9.3;3;3;0
0;39.5;10;0;6;0
0;199.5;8.1;2;4;0
0;156.8;7.6;1;6;0
0;183.4;9;3;5;0
0;132.4;8.6;1;2;0
0;63.2;5.1;0;3;0
1;181.1;16.9;0;4;1
0;117.5;4.2;3;7;0
0;218.7;15;0;1;0
0;207.3;5.9;1;3;0
0;150.6;8.1;0;5;0
1;273.3;12;1;7;1
1;266.1;10.3;1;4;0
0;112.8;16.3;0;6;0
0;104.7;15.8;3;7;0
0;193.8;5.9;0;4;0
0;168.6;9.8;1;5;0
0;253.2;9.7;2;7;0
0;174.7;8.9;1;2;0
0;87;11;0;5;0
0;204.5;14.8;2;9;0
0;226.5;9.4;3;4;0
1;234.1;10;1;3;0
1;133.3;12.9;3;2;1
0;133.9;15.4;1;3;0
0;160.2;9.7;0;2;0
0;230.6;11.1;0;2;0
0;227.4;6.3;2;4;0
0;72.8;11.8;2;2;0
0;196.1;7;1;2;0
0;197.1;12.8;1;3;0
0;219.6;9.7;1;5;0
0;153.4;12.8;4;4;1
0;216;4.9;2;10;0
0;222.9;10.8;0;4;0
0;115.9;11.7;3;6;0
0;189.8;10.6;1;5;0
0;154.7;11.1;0;3;0
0;136.4;11.5;3;1;0
0;170.5;12.2;1;6;0
0;272.4;12.7;0;2;0
0;210;5.9;8;4;0
1;236.5;12.2;2;3;0
0;153.9;8.5;2;3;0
0;223;8.8;1;5;0
0;252.4;10.7;2;3;0
0;197.9;12;1;6;0
0;152.4;6.6;3;5;0
0;237.4;9.2;3;3;0
0;265.6;8.6;1;2;0
0;197.3;6.7;1;6;0
0;199.1;4.2;1;1;0
0;233.7;12;2;2;0
0;183.1;7;1;3;0
0;139.4;10;2;5;0
0;213.9;8.4;1;3;1
0;207.1;12.4;1;2;0
0;139.7;11.3;2;5;0
0;177.2;8.9;2;3;0
0;169.8;9.5;2;7;0
0;173.5;9.7;3;2;0
0;159.9;5.6;1;4;0
0;115.1;11.4;2;3;0
0;136.8;12.5;2;3;0
0;92.2;13.1;1;6;0
0;243.9;13.4;2;11;0
0;117.1;9;0;2;0
0;223.3;4.5;0;4;1
0;154.8;10.6;3;2;0
0;261.4;8;1;6;1
1;46.5;9.6;4;4;1
0;149.9;11.5;0;7;1
1;242.2;13.9;2;5;1
0;259.4;10.7;1;6;1
0;222.4;12;2;8;0
0;69.4;8.9;0;5;0
1;156.5;11.1;4;3;1
0;61.2;13.7;5;3;1
1;245.2;10.7;0;5;0
0;102.3;15.7;3;10;0
0;230.9;7.6;3;4;0
1;227.4;11.9;0;3;0
0;192.8;12.7;1;6;0
0;162.6;8.2;1;2;0
0;219.4;11;2;1;0
0;137.2;14.3;1;4;0
0;87.7;10.5;1;10;0
0;271.1;10.3;1;5;0
0;103.4;14.4;1;3;0
0;52.2;11.4;2;2;0
0;165.4;8.7;0;3;1
0;147.5;16.4;2;3;0
0;217.8;11.3;0;7;0
0;235.7;13.3;1;10;0
0;204.5;8.6;2;5;0
0;178.4;9.6;0;2;0
0;130.1;13.5;2;5;0
0;103.7;14.8;2;4;0
0;239.9;5.9;2;3;0
0;148.4;8.9;0;4;0
0;148.6;10;2;2;0
0;191.1;12.9;0;1;0
0;218.5;7.3;1;4;0
0;97.5;0;1;0;0
0;128.7;10.8;0;5;0
0;236.6;9.5;2;10;0
0;85.9;15.6;0;16;0
0;141.2;11.4;1;2;0
0;194.4;11.5;0;3;0
0;167.6;17.3;2;3;0
0;234.5;6.1;1;4;0
0;154.2;10.1;1;9;0
0;143.2;11.6;1;1;0
1;216.4;12.7;1;4;0
0;161.9;8.5;1;2;0
0;118.7;10.4;3;6;0
0;179.1;10.2;1;10;0
0;147.9;8.8;2;5;0
0;209.2;16.5;2;4;0
0;244.3;10.6;0;6;0
0;175.3;5.6;1;11;0
0;150.5;9;1;2;0
0;197.4;13.2;0;2;0
0;163.5;12.6;1;5;0
0;236.9;11.4;2;7;1
0;82.3;7.2;1;4;0
0;216;12.7;1;4;0
1;180;12.4;1;3;0
0;143.7;5.8;1;6;0
0;198.2;11.3;1;7;0
0;185.6;11.1;2;5;0
0;137.6;5.8;3;10;0
1;273.9;10.9;1;7;1
0;125.3;6.3;3;2;0
0;178.8;8.6;3;4;0
0;214.9;8.2;0;5;0
0;163;15.1;2;4;0
0;163.8;8.8;2;2;0
0;189.5;13.4;1;3;0
0;155.2;4.5;0;4;0
1;242.3;11.3;0;3;1
1;254.1;8.7;3;4;0
0;112;11.3;2;4;0
0;115.5;13.3;3;5;0
0;137.1;11.1;1;4;0
0;198.4;10.1;0;3;0
0;132.7;12.9;3;7;0
0;219.6;13.8;2;8;0
0;169.6;11.2;0;4;0
1;160.4;12.6;4;5;0
0;95;11.2;0;2;0
0;160.1;7;2;1;0
0;194.6;3.8;3;2;0
0;236.4;13.8;1;4;1
0;157.1;7.6;2;3;0
0;179.8;10.9;0;4;0
1;148.2;11;0;4;0
0;183.2;11.9;1;6;0
0;119.2;12.2;4;6;1
0;224;9.6;0;2;0
0;19.5;7.9;0;1;0
0;184.8;9.6;1;8;0
0;176.3;11.3;1;5;0
0;241.7;11.1;2;2;0
0;224.7;9.8;0;6;0
0;207.3;8.6;1;4;0
0;196.8;12.7;2;7;0
0;110.9;15.8;1;9;0
0;122.5;8;2;3;0
0;226.9;13.2;2;5;0
0;187;10;2;8;0
0;170.5;11.2;0;6;0
0;204.8;9.5;0;3;0
0;165.9;12;2;5;0
0;154;9.5;4;3;1
0;158.1;8.9;1;6;0
0;225.2;9.1;2;2;0
0;159.4;9.7;6;2;1
0;172.7;11.7;2;1;0
0;222.8;11;3;3;0
1;214.1;10.1;1;3;0
0;54.8;7.5;1;3;0
0;134;7.3;3;3;0
0;184.8;10.5;1;6;0
0;283.1;11.3;3;3;0
0;291.8;9.9;0;2;1
0;222.7;13.5;1;4;0
0;174.5;8.5;0;5;0
0;68.4;10.4;0;4;0
0;273;9.6;1;2;0
1;225.3;17.3;1;9;1
0;283.2;7.2;1;6;0
1;131.4;11.1;1;2;1
0;89.7;10.7;1;2;0
0;127.1;5;3;3;0
0;105.9;10.7;1;5;0
0;142.3;6;2;11;0
0;191.3;6.4;2;3;0
0;201.9;13.7;0;5;0
0;247.3;14.7;3;2;0
0;242.2;8.9;1;1;0
1;127.3;13.7;5;5;1
